permalink,category_list,country_code,funding_round_type,raised_amount_usd
fame,Media,IND,venture,10000000.0
qounter,Application Platforms,USA,seed,700000.0
0-6-com,Curated Web,CHN,venture,2000000.0
0ndine-biomedical-inc,Biotechnology,CAN,seed,43360.0
0ndine-biomedical-inc,Biotechnology,CAN,venture,719491.0
0xdata,Analytics,USA,seed,3000000.0
0xdata,Analytics,USA,venture,20000000.0
0xdata,Analytics,USA,venture,1700000.0
0xdata,Analytics,USA,venture,8900000.0
1,Mobile,USA,seed,150000.0
1,Mobile,USA,seed,1000050.0
1-2-3-listo,E-Commerce,CHL,seed,40000.0
1-800-publicrelations-inc-,Internet Marketing,USA,private_equity,6000000.0
1-mainstream,Apps,USA,venture,5000000.0
10-minutes-with,Education,GBR,venture,4000000.0
10-minutes-with,Education,GBR,seed,400000.0
1000-corks,Search,USA,seed,40000.0
1000-markets,Art,USA,seed,500000.0
1000memories,Curated Web,USA,venture,2520000.0
1000memories,Curated Web,USA,seed,15000.0
1000museums-com,Curated Web,USA,venture,265940.0
1000museums-com,Curated Web,USA,venture,2906832.0
1000museums-com,Curated Web,USA,venture,1500000.0
1000museums-com,Curated Web,USA,venture,642000.0
1001-menus,Local Businesses,FRA,seed,390000.0
1001-menus,Local Businesses,FRA,venture,6602694.0
1001-menus,Local Businesses,FRA,venture,1736910.0
1001-menus,Local Businesses,FRA,seed,132169.0
1001-menus,Local Businesses,FRA,venture,1800000.0
1001pharmacies-com,Cosmetics,FRA,venture,8900000.0
1006-tv,Games,CHN,venture,10000000.0
100du-tv,Hospitality,CHN,venture,3000000.0
100e-com,Education,CHN,venture,3000000.0
100e-com,Education,CHN,venture,1500000.0
100health,Health Care,USA,seed,470000.0
100health,Health Care,USA,venture,3530000.0
100plus,Analytics,USA,seed,750000.0
100plus,Analytics,USA,venture,500000.0
1010data,Software,USA,venture,35000000.0
10bestthings,Curated Web,USA,seed,50000.0
10sec,E-Commerce,USA,seed,1600000.0
10seconds-software,Enterprise Software,AUS,angel,100000.0
10x-genomics,Biotechnology,USA,venture,55000000.0
10x-technologies,Biotechnology,USA,venture,550000.0
11-health,Health and Wellness,GBR,seed,1958909.0
117go,Social Travel,CHN,venture,20000000.0
11i-solutions,Enterprise Software,USA,venture,1800000.0
12-labs,Health and Wellness,USA,seed,935000.0
121cast,Audio,AUS,seed,250000.0
121cast,Audio,AUS,seed,170000.0
121nexus,Health Diagnostics,USA,seed,14000.0
121nexus,Health Diagnostics,USA,angel,500000.0
121nexus,Health Diagnostics,USA,seed,55000.0
123contactform,E-Commerce,ROM,venture,1000000.0
1248,Software,GBR,seed,378812.0
128-technology,Service Providers,USA,venture,11999347.0
12bis,Publishing,FRA,seed,130636.0
