country_code,permalink,category_list,funding_round_type,raised_amount_usd
AUS,adalta,Biotechnology,venture,3007428.0
AUS,affiniti,Digital Media,venture,574438.0
AUS,agworld-pty-ltd,Software,venture,5563540.0
AUS,agworld-pty-ltd,Software,venture,1415094.0
AUS,agworld-pty-ltd,Software,venture,4140987.0
AUS,airtasker,Apps,venture,5114150.0
AUS,alchemia-oncology,Biotechnology,venture,708825.0
AUS,alchemia-oncology,Biotechnology,venture,604935.0
AUS,alcidion-corporation,Health Care,venture,1500000.0
AUS,alcyone-resources,Data Mining,venture,4900000.0
AUS,appcast,Android,venture,1500000.0
AUS,aquaspy,Clean Technology,venture,6250000.0
AUS,atmail,Cloud Computing,venture,2000000.0
AUS,audinate,Web Hosting,venture,4000000.0
AUS,audinate,Web Hosting,venture,3710000.0
AUS,austhink-software,Software,venture,3770000.0
AUS,australian-credit-and-finance,Brokers,venture,4934311.0
AUS,australian-credit-and-finance,Brokers,venture,1842105.0
AUS,azure-minerals,Data Mining,venture,2100000.0
AUS,bannerman-resources,Manufacturing,venture,3914505.0
AUS,bcode,Mobile,venture,3790000.0
AUS,bcode,Mobile,venture,196000.0
AUS,beat-the-q,Information Technology,venture,5000000.0
AUS,beeline-technologies,Navigation,venture,11240000.0
AUS,bionomics,Biotechnology,venture,10060000.0
AUS,biosceptre,Biotechnology,venture,4692720.0
AUS,biota-holdings,Biotechnology,venture,423000.0
AUS,blackham-resources-limited,Gold,venture,3500000.0
AUS,booking-boss-pty-ltd,Hardware + Software,venture,2000000.0
AUS,bt-imaging,Clean Technology,venture,2860000.0
AUS,bt-imaging,Clean Technology,venture,3800000.0
AUS,canva,Design,venture,15000000.0
AUS,car-next-door,Cars,venture,1300000.0
AUS,caremonkey,Electronic Health Records,venture,697429.0
AUS,catapult-genetics,Biotechnology,venture,2000000.0
AUS,chuffed-org,Crowdfunding,venture,2000000.0
AUS,clipp,Hospitality,venture,4690000.0
AUS,cohda-wireless,Hardware + Software,venture,1800000.0
AUS,cultureamp,Analytics,venture,6300000.0
AUS,dealised,Advertising,venture,5270907.0
AUS,decimal-software-ltd,Finance,venture,3203838.0
AUS,decimal-software-ltd,Finance,venture,2396166.0
AUS,designcrowd,Crowdsourcing,venture,4666005.0
AUS,designcrowd,Crowdsourcing,venture,3000000.0
AUS,designcrowd,Crowdsourcing,venture,3000000.0
AUS,digitalbtc,Bitcoin,venture,2763208.0
AUS,dimerix-biosciences-pty-ltd,Biotechnology,venture,768888.0
AUS,distra,Software,venture,3850000.0
AUS,divvy-parking,Real Estate,venture,2500000.0
AUS,dorsavi,Biotechnology,venture,5000000.0
AUS,ecal,Sports,venture,2000000.0
AUS,ecosave,Energy,venture,5000000.0
AUS,edictive,Broadcasting,venture,600000.0
AUS,effective-measure,Advertising,venture,4000000.0
AUS,engeneic,Biotechnology,venture,10000000.0
AUS,engeneic,Biotechnology,venture,7000000.0
AUS,engeneic,Biotechnology,venture,2905000.0
AUS,exari-systems,Software,venture,10000000.0
AUS,expert360,Consulting,venture,4099999.0
AUS,folderboy,Curated Web,venture,7000.0
AUS,genetic-solutions-pty-ltd,Technology,venture,1980219.0
AUS,global-kinetics-corporation,Health Care,venture,13300000.0
AUS,gocatch,Software,venture,5000000.0
AUS,hackertarget-com-llc,Accounting,venture,10000.0
AUS,hatchtech,Biotechnology,venture,2200000.0
AUS,hatchtech,Biotechnology,venture,12330691.0
AUS,hatchtech,Biotechnology,venture,8100000.0
AUS,hipages-group,Advertising,venture,6000000.0
AUS,hipages-group,Advertising,venture,6000000.0
AUS,hitwise,Curated Web,venture,4200000.0
AUS,hitwise,Curated Web,venture,10000000.0
AUS,hotdoc,Dental,venture,1618786.0
AUS,hubbed,Consumers,venture,4600000.0
AUS,hungertime,E-Commerce,venture,1527043.0
AUS,icetana,Software,venture,1397516.0
AUS,icetana,Software,venture,461538.0
AUS,iclinix,Clinical Trials,venture,10000000.0
AUS,ilab-accelerator,Entrepreneur,venture,10000000.0
AUS,immune-system-therapeutics,Biotechnology,venture,700000.0
AUS,ingogo-pty,Apps,venture,6903904.0
AUS,ingogo-pty,Apps,venture,3327329.0
AUS,ingogo-pty,Apps,venture,12000000.0
AUS,jasondb,Cloud Computing,venture,800000.0
AUS,jump-on-it,E-Commerce,venture,5000000.0
AUS,lawpath,Cloud Computing,venture,1300000.0
AUS,lawpath,Cloud Computing,venture,600000.0
AUS,legalvision,Legal,venture,1200000.0
AUS,liquefied-natural-gas,Clean Technology,venture,11000000.0
AUS,liven,Android,venture,728086.0
AUS,locata-corporation,Automotive,venture,22000000.0
AUS,macropod,Design,venture,930960.0
AUS,manjrasoft,Enterprise Software,venture,529000.0
AUS,marketplacer,E-Commerce,venture,7375157.0
AUS,mems-id,Public Relations,venture,1330000.0
AUS,merlin-diamonds,Clean Technology,venture,1760000.0
AUS,metacdn,Cloud Computing,venture,2300000.0
AUS,moneybrilliant,Mobile Commerce,venture,1500000.0
AUS,monitoring-division,Social Media,venture,3850000.0
AUS,my-green-world,Mobile,venture,15000.0
AUS,my-green-world,Mobile,venture,10000.0
AUS,nano-nouvelle,Technology,venture,3700000.0
AUS,neuren-pharmaceuticals,Biotechnology,venture,21500000.0
AUS,nexus-ewater,Energy Efficiency,venture,2100000.0
AUS,nexus-ewater,Energy Efficiency,venture,1200000.0
AUS,nexvet,Biotechnology,venture,7000000.0
